Number,Answer,,,,,,,,,,,,
1,"En mi opinión sheinbaum, me parece una persona a lo que he visto últimamente de tiempo atrás muy inteligente muy preparada, eso es lo único que me gusta de ella y esta analítica y me gusta que es pacifista. Sí pero como digo, me gusta una persona pacifista, pero quiero alguien con carácter y ella lo va realmente a tener para hacer cambios, por ejemplo en la inseguridad. Que vivimos tremendamente Wow qué padrísimo este por el otro lado de los otros dos candidatos, la verdad no tengo una farita con esta opinión, verdad?",,,,,,,,,,,,
1,"La verdad no fue memorable para mí este mi yo porque me estoy pensando botar es por sheinbaum. Yo sí estoy satisfecha con el gobierno actual no se me hace el mejor gobierno, pero tampoco se o sea, nos dijeron que íbamos a ser Venezuela no somos Venezuela este, yo sí he visto beneficios en mi familia, en mi persona a mí sí, O sea por ejemplo, no sé, saqué un crédito mejoraron las condiciones de mis de mi crédito para sacar mi casa me llegó un estímulo de otras cosas Entonces el que siga. ",,,,,,,,,,,,
1,"O sea, se me hace muy una, o sea una persona que no no está preparada para ese puesto, pero pues como dice David si traes tu buen este gabinete, Pues bueno lo sacas a flote y ya verdad Pero a mí como como para votar, o sea, como una persona para votar un como tanto. Yo digo pues Híjole pues no, no me inspira no me inspira para para que sea nuestra presidenta, no O sea de de de nuestro país.",,,,,,,,,,,,
1,"Pues este se me hace con ella una persona muy pobre intelectualmente en todos los aspectos. no me gustaría que fuera presidenta de México porque yo creo que agarraron simplemente así como un títere porque es mujer una mujer madura O sea analizaron qué es lo que conviene poner al frente, pero ella trae alguien detrás que son los interesados en tener el poder y estamos hablando que están con lo mismo, ya sabemos de qué se trata robos asesinatos este mentiras",,,,,,,,,,,,
1,"López Obrador sí. Sí, hizo muchas cosas a comparación de los otros gobiernos federales, verdad este y y por lo menos yo siento que nos ha callado la boca a muchos este y en cuestión de economía en cuestión de todo a veces uno se resiste a creer que está cambiando el país, pero pero lo estamos viendo, no antes estaba había mucho traidor a la patria, como decía y ahora por lo menos este se ve que están defendiendo al país Este y otra a ver Rocío otra cosa. lo único que no estoy de acuerdo con morena es en cuestión de de que apoyan mucho al lgtb apoyan, el aborto apoyan ese tipo de cosas que que ahí si yo estoy muy en desacuerdo, verdad, pero en cuestión de economía en cuestión de lo que están haciendo este políticamente hablando siento que lo están haciendo bien este a comparación de los otros ya no, no son perfectos, pero yo sí veo un cambio Si veo que que están haciendo cosas y veo que están ayudando a la gente que se acercan más eso que mencionaba que que se comunican a través de las Este, pues la de la mañanera siento que fue todo un éxito y lo está siguiendo ahora la presidenta lo está siguiendo y lo sigue haciendo este si tienen muchos errores y muchas cosas culturales, que a veces choca aquí con la gente del norte este, pero pero hablando así objetivamente hablando por lo menos de mi parte, Yo siento que se están haciendo las cosas bien.",,,,,,,,,,,,
1,"Xóchitl y Claudia se han estado echando una otra en lugar de tener propuestas en lugar de atender temas no menos importantes o mejor dicho lo que nos interesa que es el tema de migratorio apoyo sociales, el atender estos asuntos, no y el traer propuestas. Que pues no queden nada más en el escritorio principalmente han estado, digo, me sorprendió también el que mis hijos hayan prendido la televisión y ellos han estado atendiendo el debate y que bueno, pues ellos percibieran lo mismo que nosotros Ahorita estamos atendiendo, no que estamos comentando.",,,,,,,,,,,,
,,,,,,,,,,,,,
2,"Sí pues bueno, este, pues como ya lo mencionaron hay mucha inseguridad este en general en Monterrey en todo el estado y baches por todos lados. Con Jesús o sea, tráfico también por todos lados, verdad O sea el tráfico está cada vez peor que pues bueno veo difícil en Cómo se puede solucionar solamente en Monterrey y yo creo que esos son los principales problemas, que veo verdad O sea ese ese. Cada vez están están un poco peor esos temas.",,,,,,,,,,,,
2,"Bueno, tenía buen control de la de la de la seguridad. Creo que se vino abajo con Miguel se fue deteriorando. Creo que hubo cambio de de Liderazgo inseguridad con Miguel hubo problemas. De entonces creo que es un tema que debe de volverse a retomar y Y si tiene la experiencia Mauricio Entonces sí vendría bien todo eso. Y vendría bien todo eso Y creo que sí lo va a hacer va a poner orden en seguridad otra vez porque si si decayó venimos con una tendencia hacia abajo. Entonces sí sí creo que que pueda ser bueno, eso esperemos que sí lo haga.",,,,,,,,,,,,
2,"Sí en una parte sí coincido que es el bacheo que es necesario porque sí, por acá por country si hay problemas de bacheo y que hasta ahorita, aunque uno digo Estoy de acuerdo con duversa, si hay que comentarlo si hay que opinar, pero de repente como aunque tengas la opinión si se tardan en este caso tres o cuatro veces tienes que insistir hasta dentro de una semana o semana y media Es cuando vienen y luego la seguridad Sí coincido con todos ahí sí, la seguridad sí tiene que estar muy pero bien, previendo cualquier situación a veces sonará gacho, pero un toque de queda después de las diez y media a veces ya te preocupa salir de noche, entonces Y ante todo, pues la infraestructura O sea ya veo que por acá sí hay mucho más puente mucha seguridad. Digo mucho mucho problema de edificios Entonces eso también cambia mucho la imagen de Guadalupe Entonces es",,,,,,,,,,,,
2,"En cuanto al tráfico todo, porque a toda hora hay mucho tráfico mucho congestionamiento y pues son cosas que se tienen que hacer, pero si está ocasionando muchos problemas de tráfico ahorita.",,,,,,,,,,,,
2,"de todos modos está saturado las vías que han abierto No son suficientes muy bien, muy bien, okay, Este esta construcción de la saturación del tráfico es un problema Yahir Qué otros problemas detectas, qué otras situaciones hay",,,,,,,,,,,,
2,"Pues sí sí coincido que hay cierto rezago cierta desatención de los políticos o de los dirigentes este respecto al municipio, porque digo esto no para no seguimos viviendo y seguimos en el mismo los problemas cotidianos este los baches y todo, pero pues eso. No, No evita que que uno haga sus actividades, no, pero este sin embargo, si hay cierta desatención en algunos sectores, No todo es malo Este ahí hay cosas buenas",,,,,,,,,,,,
2,"Tenemos los mismos problemas, aunque con diferentes gobernantes Porque como dijo este Jorge Pues el problema del agua Sigue Sí y ahora se adaptó nuevo más, porque las presas se acabaron Este pero es un problema que está la vialidad también es un problema que apareció desde el problema del Gilberto este y no Podido resolver somos más gente somos más personas entonces la vialidad ya no ya no está abasto Sí entonces hay que ver cómo se va a solucionar y al que da hay que dar alternativas para ellos, o sea hay que hacer algo.",,,,,,,,,,,,
2,"Sí pues bueno, este, pues como ya lo mencionaron hay mucha inseguridad este en general en Monterrey en todo el estado y baches por todos lados. Con Jesús o sea, tráfico también por todos lados, verdad O sea el tráfico está cada vez peor que pues bueno veo difícil en Cómo se puede solucionar solamente en Monterrey y yo creo que esos son los principales problemas, que veo verdad O sea ese ese. Cada vez están están un poco peor esos temas.",,,,,,,,,,,,
2,Pues yo pondría el primero Estoy entre inseguridad y el agua serían serían los que más me preocuparían. Este después el el Híjole pudiera ser la contaminación Y luego el tráfico. yo creo que en ese,,,,,,,,,,,,
2," que nos han estado atacando el crecimiento que ha habido en en San Pedro y volvemos a lo mismo la falta de planeación, si vas a crecer crece también la línea fluvial y drenaje, que eso no lo hace al final de cuenta tiene una capacidad. Que te va a llegar. Tarde o temprano digamos que si es para diez personas y metes quince ahí donde está la saturación y es lo que no planean. Planean crecer más, no, no los otros servicios que es donde deben atacar también y el tráfico de eso llegar a",,,,,,,,,,,,
2,"el bacheo De las obras públicas me imagino, verdad eso? Y la otra seguridad. Y la otra principal.",,,,,,,,,,,,
2,"Bueno yo iba a decir lo mismo lo del drenaje, que también este me ha tocado lo de él lo de lo del bacheo yo ando. Por temporadas mucho en la calle la verdad es que yo pienso que son todos los municipios o sea, no es exclusivo de Guadalupe me ha tocado andar en Apodaca y hay unos súper pozos y en Monterrey y en todos Entonces está igual este y también lo que viene siendo lo de Cómo se dice cuando lo que viene ni cortan servicios públicos y eso de que cortan el el césped. ",,,,,,,,,,,,
2,"Sería seguridad en número uno. En segundo proyectos de desarrollo que aumenten a plusvalía de nuestras casas Eso es importantísimo porque no ha habido centros comerciales nuevos en lo que es el el municipio y uno como mencionaba José Voy a Apodaca voy a Monterrey y se ve un crecimiento enorme entonces, pero Guadalupe es la misma foto de hace 20 años insisto mucho en esto porque pues yo me enamoré de Guadalupe cuando llegué y había mucho terreno donde podíamos crecer y todo, pero solo hay casas nuevas, no hay centros comerciales con es más como en una Escobedo está mucho mejor Escobedo Juárez ya les pusieron un Sam's nuevo y Nosotros igual ",,,,,,,,,,,,
2,"En cuanto al tráfico todo, porque a toda hora hay mucho tráfico mucho congestionamiento y pues son cosas que se tienen que hacer, pero si está ocasionando muchos problemas de tráfico ahorita.",,,,,,,,,,,,
2,"Bueno, en cuanto al agua Pues sí estuvimos sufriendo mucho del agua porque pues las presas se vaciaron y pues no llovía aquí en Monterrey Entonces ahora hace poco Yo creo que un mes o un poquito más de un mes que nos llegó una tormenta este la tormenta Alberto pues lograron llenarse las presas otra vez de nuevo, pero si Yo escucho en las noticias que por ejemplo muchas colonias Todavía están sufriendo de cortes de agua cortes de luz, o sea, por ejemplo, yo vivo aquí este cerca aquí en la primavera y si por ejemplo en el té que estuvieron sin luz, creo que el domingo no sé si llevaban veinticuatro horas sin luz o no sé cuántos así. Si llego a escuchar mucho de que colonias que no tienen agua que no tienen luz este como cuenta. Este también el tráfico, o sea, yo trabajo también para acá para la carretera nacional y cuando antes hacía A lo mejor veinte minutos O sea ahorita a veces hago hasta una hora o más de una hora en llegar al trabajo, o sea, cada vez es más el tráfico y para, o sea, para cualquier lado, o sea, antes para ir a la carretera nacional. Era los fines de semana ahorita es todos los días el tráfico.",,,,,,,,,,,,
2,"Bueno pues la verdad Ahorita estamos sufriendo de mucha inseguridad O sea ahorita yo creo que volvemos a a años anteriores en donde se vivía mucho la inseguridad ahorita yo creo que estamos. igual o peor, o sea, todos los días hay asesinatos o robos o Siento que eso nos falta mejorar la la seguridad.",,,,,,,,,,,,
2,"Era la cuestión de la movilidad, no O sea cada vez vemos Que La ciudad está completamente paralizada, No este en muchas zonas y uno de los de los de los de las promesas era la movilidad, no Y esas son horas hombres economía es este negocios etcétera, no? Y pues bueno de los últimos seis meses para acá, pues la inseguridad no la la inseguridad se está disparando como hace diez años ocho años que la vivimos muy mal aquí. Y vemos que que continúa no, entonces.",,,,,,,,,,,,
2,"Pues yo que ya no acaben también con los cerros porque están acabando con los cerros cada vez están acabando más con los cerros, o sea, antes veías así los cerros verdes y ahorita ya mucha construcción y siento que ya no O sea Monterrey ya nos tiene espacio para más gente O sea cada vez se abren más fraccionamientos. Y están ya construyendo ya arriba en el cerro y ya no cabemos aquí, o sea, es demasiado tráfico. Y esa es una problemática, yo creo una que",,,,,,,,,,,,
2,"Pues yo digo que la cuestión de emisión de contaminación de las empresas, por ejemplo, las pedreras este todo ese tipo de de contaminación también que que fuera un poquito más regulable porque sí, nada más quiere. Bueno, echarla bueno ahorita no sabía nada de eso, pero sí, siempre que los carros y los carros, pero realmente también las empresas contaminan mucho Que también es mucho más regulables respecto la calidad del aire Es más retirable.",,,,,,,,,,,,
2,"Pues yo creo que va relacionada con lo que dice a los policías O sea que se sientan seguros y obviamente, pues que sea como dice que sea una persona honesta para que tú te puedas sentir seguro de que no vayas a tener alguna corrupción o algo por un policía",,,,,,,,,,,,
